# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
hao jiu le 	好久了	c=1 d=1 t=6185
hao jiu yi qian 	好久以前	c=1 d=1 t=6181
hao kan 	好看	c=3 d=2.98291 t=2806
hao kan de 	好看的	c=1 d=1 t=2091
hao kui 	好亏	c=1 d=1 t=7091
hao la 	好啦	c=0 d=0.1 t=6632
hao le 	好了	c=9 d=1.27943 t=28775
hao lei 	好累	c=1 d=1 t=8873
hao ma 	号码	c=2 d=1 t=12544
hao ma 	好吗	c=9 d=1.00138 t=31580
hao qi 	好奇	c=2 d=1 t=17739
hao rang wo 	好让我	c=1 d=1 t=18429
hao re 	好热	c=2 d=1.94176 t=29675
hao ren 	好人	c=20 d=1.13147 t=29372
hao ren le 	好人了	c=1 d=1 t=12475
hao shen me 	好什么	c=1 d=1 t=19045
hao sheng huo 	好生活	c=10 d=1 t=31419
hao shi 	好事	c=8 d=1.15194 t=29732
hao shuo 	好说	c=0 d=0.100001 t=5907
hao teng 	好疼	c=1 d=1 t=28426
hao ting 	好听	c=0 d=0.1 t=27791
hao ting ma 	好听吗	c=1 d=1 t=27792
hao tong 	好痛	c=0 d=0.1 t=28889
hao tou 	好头	c=1 d=1 t=7787
hao wan 	好玩	c=2 d=1 t=8579
hao wu 	毫无	c=2 d=1 t=19325
hao xiang 	好像	c=14 d=1 t=30830
hao xiang 	好想	c=1 d=1 t=18805
hao xiang chu 	好相处	c=1 d=1 t=8866
hao xiang fa 	好想法	c=1 d=1 t=20927
hao xiang you dian 	好像有点	c=1 d=1 t=17399
hao xiao xi 	好消息	c=1 d=1 t=17362
hao xin 	好心	c=2 d=1 t=21385
hao xin ren 	好心人	c=2 d=1 t=14582
hao xue sheng 	好学生	c=1 d=1 t=17519
hao ya 	好呀	c=1 d=1 t=24325
hao yi dian 	好一点	c=2 d=1.00097 t=21826
hao yi si 	好意思	c=1 d=1 t=24017
hao zhai 	豪宅	c=2 d=1.88692 t=30221
hao zhu yi 	好主意	c=1 d=1 t=24358
he 	何	c=1 d=0.1 t=17126
he 	合	c=1 d=1 t=3761
he 	和	c=65 d=1.52706 t=32367
he 	喝	c=3 d=1.0802 t=27294
he 	河	c=1 d=1 t=16129
he bao 	荷包	c=1 d=1 t=19443
he bei 	河北	c=0 d=0.1 t=12233
he bei cai hua 	河北彩花	c=1 d=1 t=12234
he bi 	何必	c=9 d=1 t=30372
he bi kai shi 	何必开始	c=1 d=1 t=18196
he bi ne 	何必呢	c=1 d=1 t=24943
he bu 	何不	c=1 d=1 t=22457
he bu he shi 	何不合适	c=1 d=1 t=3760
he bu lai 	和不来	c=1 d=1 t=10851
he bu wan 	喝不完	c=1 d=1 t=27295
he dian 	喝点	c=1 d=1 t=21277
he fa 	合法	c=0 d=0.1 t=26388
he he 	喝喝	c=1 d=1 t=19336
he jie 	和解	c=1 d=1 t=21438
he jiu 	喝酒	c=1 d=1 t=7245
he kuang 	何况	c=0 d=0.1 t=5283
he kuang shi 	何况是	c=1 d=1 t=5284
he le 	喝了	c=1 d=1 t=23493
he li 	合理	c=1 d=1 t=29846
he ni 	和你	c=1 d=1 t=6437
he shi 	合适	c=7 d=1 t=31589
he wo 	和我	c=1 d=1 t=28861
he xu 	何须	c=1 d=1 t=26708
he zai 	何在	c=0 d=0.1 t=5046
he zhi 	何止	c=0 d=0.1 t=13930
he zuo 	合作	c=8 d=1.00046 t=30319
he zuo de 	合作的	c=1 d=1 t=29035
hei 	黑	c=8 d=1.70469 t=27579
hei an 	黑暗	c=3 d=1 t=27360
hei an zhong 	黑暗中	c=1 d=1 t=8226
hei chan 	黑产	c=2 d=1 t=29050
hei de 	黑的	c=3 d=1 t=27542
hei dian 	黑点	c=1 d=1 t=24757
hei ke 	黑客	c=16 d=2.92275 t=8694
hei le 	黑了	c=1 d=1 t=28792
hei long jiang 	黑龙江	c=1 d=0.65377 t=32367
hei ming dan 	黑名单	c=1 d=1 t=22341
hei she hui 	黑社会	c=2 d=1 t=23580
hei shou 	黑手	c=0 d=0.1 t=5066
hei shou dang 	黑手党	c=8 d=1.00002 t=15510
hei shou dang ma 	黑手党吗	c=1 d=1 t=11378
hei xin 	黑心	c=1 d=1 t=22992
hen 	很	c=70 d=0.895834 t=32367
hen 	恨	c=3 d=1 t=21417
hen 	狠	c=5 d=1 t=23038
hen bu 	很不	c=1 d=0.1 t=24214
hen bu hao 	很不好	c=1 d=1 t=24195
hen bu hao de 	很不好的	c=1 d=1 t=4702
hen bu tong 	很不同	c=1 d=1 t=32090
hen bu xiang 	很不想	c=1 d=1 t=24215
hen can 	很惨	c=1 d=1 t=14938
hen cha 	很差	c=2 d=1 t=20274
hen che di 	很彻底	c=1 d=1 t=27543
hen cheng gong 	很成功	c=2 d=1.91851 t=20760
hen da 	很大	c=6 d=1 t=29795
hen da de 	很大的	c=1 d=1 t=15221
hen dan 	很淡	c=0 d=0.1 t=20080
hen dan bo 	很淡薄	c=1 d=1 t=20081
hen duan 	很短	c=1 d=1 t=19827
hen duo 	很多	c=33 d=1.21764 t=30403
hen duo a 	很多啊	c=1 d=1 t=5887
hen duo de 	很多的	c=2 d=1 t=23304
hen duo de ren 	很多的人	c=1 d=1 t=19848
hen duo mian 	很多面	c=1 d=1 t=5817
hen duo nian 	很多年	c=4 d=1 t=26636
hen duo ren 	很多人	c=12 d=1 t=32088
hen duo ren de 	很多人的	c=1 d=1 t=17838
hen duo shi 	很多事	c=1 d=1 t=3749
hen duo shi hou 	很多时候	c=4 d=1 t=20596
hen duo shi qing 	很多事情	c=1 d=1 t=17469
hen duo ya 	很多呀	c=1 d=1 t=6740
hen fu za 	很复杂	c=1 d=1 t=30634
hen gao 	很高	c=1 d=1 t=334
hen hai pa 	很害怕	c=1 d=1 t=30729
hen hao 	很好	c=1 d=1 t=23801
hen hao le 	很好了	c=2 d=1.00001 t=9440
hen hen 	狠狠	c=1 d=1 t=25676
hen huai 	很坏	c=2 d=1.00029 t=7630
hen jian dan 	很简单	c=1 d=1 t=17261
hen jiu 	很久	c=3 d=1 t=29623
hen jiu le 	很久了	c=1 d=1 t=385
hen kan 	很看	c=1 d=1 t=8390
hen kuai 	很快	c=1 d=0.704688 t=32367
hen lei 	很累	c=2 d=0.133709 t=31792
hen man 	很慢	c=1 d=1 t=10424
hen min gan 	很敏感	c=1 d=1 t=9594
hen ming bai 	很明白	c=2 d=1 t=22858
hen nan 	很难	c=5 d=1.00324 t=9050
hen nan shou 	很难受	c=1 d=1 t=10957
hen nan shou ba 	很难受吧	c=1 d=1 t=1703
hen neng 	很能	c=1 d=1 t=12816
hen pi bei 	很疲惫	c=1 d=1 t=22264
hen piao liang 	很漂亮	c=1 d=1 t=16026
hen ping jing 	很平静	c=1 d=1 t=1301
hen pu tong de 	很普通的	c=1 d=1 t=10943
hen qi 	很气	c=2 d=1 t=14322
hen qi guai 	很奇怪	c=2 d=1 t=14019
hen qing chu 	很清楚	c=2 d=0.1 t=22189
hen qing chu le 	很清楚了	c=1 d=1 t=22190
hen rong yi 	很容易	c=2 d=1 t=24570
hen ruo 	很弱	c=1 d=1 t=11026
hen shao 	很少	c=1 d=1 t=27513
hen tong ku 	很痛苦	c=1 d=1 t=10884
hen wu liao 	很无聊	c=1 d=1 t=12265
hen xian 	很闲	c=1 d=1 t=25900
hen xian shi 	很现实	c=1 d=1 t=10349
hen xiao 	很小	c=1 d=1 t=29834
hen xing fu 	很幸福	c=1 d=1 t=25001
hen xiong 	很凶	c=1 d=1 t=5986
hen ya yi 	很压抑	c=1 d=1 t=16236
hen yan 	很严	c=1 d=1 t=694
hen you 	很有	c=1 d=1 t=11225
hen yuan yi 	很愿意	c=1 d=1 t=1648
hen zao 	很早	c=2 d=0.690734 t=32367
hen zheng chang 	很正常	c=1 d=1 t=13036
hen zhi jie 	很直接	c=1 d=1 t=274
hen zhong yao 	很重要	c=4 d=1 t=27270
heng 	哼	c=3 d=2.74798 t=23542
hong 	哄	c=1 d=1 t=11544
hong 	洪	c=0 d=0.0882497 t=32367
hong du la si 	洪都拉斯	c=1 d=0.88692 t=32367
hong jiu 	红酒	c=2 d=1.9802 t=12496
hong se 	红色	c=1 d=1 t=11402
hong shao rou 	红烧肉	c=1 d=1 t=21031
hou 	厚	c=2 d=0.837123 t=15732
hou 	后	c=3 d=1 t=23574
hou ban 	后半	c=0 d=0.1 t=20493
hou ban sheng 	后半生	c=2 d=1 t=27177
hou dai 	后代	c=1 d=1 t=17407
hou guo 	后果	c=2 d=1 t=25655
hou hui 	后悔	c=2 d=1.03364 t=31425
hou hui de 	后悔的	c=1 d=1 t=31069
hou hui ne 	后悔呢	c=1 d=1 t=9714
hou jiao 	后脚	c=1 d=1 t=3397
hou lai 	后来	c=13 d=1.06974 t=27812
hou lu 	后路	c=3 d=1 t=20550
hou qi 	后期	c=2 d=1.9802 t=16164
hou yi zheng 	后遗症	c=2 d=1.37531 t=15484
hou zhe 	厚着	c=1 d=1 t=18286
hou zhe lian pi 	厚着脸皮	c=1 d=1 t=15733
hou zi 	猴子	c=1 d=1 t=28656
hu 	乎	c=4 d=1 t=19807
hu 	户	c=0 d=0.1 t=5098
hu 	护	c=1 d=1 t=9670
hu 	虎	c=2 d=1 t=22359
hu bu 	互补	c=1 d=0.1 t=23187
hu bu yi xia 	互补一下	c=1 d=1 t=23188
hu huan 	互换	c=1 d=1 t=27569
hu ji 	户籍	c=1 d=1 t=22326
hu jiao 	胡搅	c=1 d=1 t=22438
hu kou 	户口	c=1 d=1 t=24261
hu lian wang 	互联网	c=1 d=1 t=5345
hu lian wang shang mian 	互联网上面	c=1 d=1 t=2030
hu lue 	忽略	c=0 d=0.1 t=15261
hu lue le 	忽略了	c=1 d=1 t=15262
hu run 	胡润	c=2 d=1.88692 t=15780
hu tu 	糊涂	c=1 d=1 t=14127
hu xiang 	互相	c=2 d=1.26847 t=15724
hu you 	忽悠	c=4 d=1 t=23786
hu zhao 	护照	c=8 d=1.7711 t=26448
hua 	画	c=2 d=1 t=27351
hua 	花	c=12 d=1.0026 t=31813
hua 	话	c=16 d=2.29499 t=29597
hua dian 	花点	c=2 d=0.1 t=24849
hua dian qian 	花点钱	c=1 d=1 t=24850
hua dian qian 	话点钱	c=1 d=1 t=356
hua fei 	花费	c=3 d=1 t=22031
hua ge 	画个	c=1 d=1 t=2898
hua ge 	花个	c=2 d=1 t=29254
hua hua 	画画	c=4 d=1.86209 t=28204
hua luo 	滑落	c=1 d=1 t=16603
hua mian 	画面	c=1 d=1 t=15285
hua qian 	花钱	c=2 d=1.94176 t=4736
hua shuo 	话说	c=10 d=1 t=27439
hua suan 	划算	c=5 d=1.25411 t=28192
hua ti 	话题	c=1 d=1 t=14120
hua xiao 	花销	c=4 d=1.99005 t=13904
hua xue 	化学	c=1 d=1 t=8664
hua yu 	话语	c=1 d=1 t=2445
hua yu quan 	话语权	c=3 d=1.9646 t=17427
huai 	坏	c=3 d=0.100025 t=22944
huai 	怀	c=1 d=1 t=26598
huai de 	坏的	c=2 d=1 t=26663
huai le 	坏了	c=1 d=1 t=20837
huai nian 	怀念	c=3 d=1 t=21282
huai ren 	坏人	c=6 d=1.00025 t=27053
huai shi 	坏事	c=11 d=1 t=30724
huai xue sheng 	坏学生	c=1 d=1 t=17514
huai yi 	怀疑	c=5 d=1.0055 t=29703
huai yi ren sheng 	怀疑人生	c=1 d=1 t=14678
huai yun 	怀孕	c=9 d=1.22506 t=28991
huai yun de 	怀孕的	c=1 d=1 t=28985
huai yun le 	怀孕了	c=3 d=1 t=24006
huan 	换	c=11 d=1.00168 t=29957
huan 	环	c=0 d=0.1 t=10217
huan 	还	c=4 d=1.14256 t=31128
huan bu qi 	还不起	c=1 d=1 t=31121
huan ge 	换个	c=1 d=0.1 t=31600
huan ge ren 	换个人	c=1 d=1 t=31601
huan gei 	还给	c=0 d=0.1 t=12371
huan gei wo 	还给我	c=3 d=1.06834 t=13083
huan gong zuo 	换工作	c=1 d=1 t=7046
huan jie 	环节	c=1 d=1 t=30343
huan jie 	缓解	c=1 d=1 t=18754
huan jing 	环境	c=14 d=1 t=22795
huan lai 	换来	c=1 d=1 t=20647
huan le 	换了	c=3 d=1 t=27117
huan le 	还了	c=2 d=1.00819 t=13274
huan qian 	还钱	c=1 d=1 t=24751
huan ren 	换人	c=1 d=1 t=31539
huan wo 	还我	c=5 d=4.12499 t=12430
huan ying 	幻影	c=1 d=1 t=11370
huan yun 	换运	c=1 d=1 t=28439
huan zhong 	换种	c=1 d=1 t=25595
huang 	慌	c=1 d=1 t=14747
huang di 	皇帝	c=1 d=1 t=15032
huang du du 	黄赌毒	c=1 d=1 t=31390
huang wei 	皇位	c=1 d=1 t=31759
huang yan 	谎言	c=1 d=1 t=15564
hui 	会	c=79 d=0.774916 t=32367
hui 	回	c=5 d=1.00022 t=31448
hui 	毁	c=2 d=1 t=18111
hui 	汇	c=4 d=1 t=31332
hui 	灰	c=4 d=1 t=26699
hui bei 	会被	c=2 d=1 t=10900
hui bu hui 	会不会	c=3 d=1 t=29887
hui cheng 	回程	c=4 d=2.26642 t=28404
hui chu shi 	会出事	c=1 d=1 t=3165
hui dao 	回到	c=2 d=1.99005 t=25962
hui dao mei 	会倒霉	c=1 d=1 t=24459
hui de lai 	回得来	c=1 d=1 t=3651
hui fu 	回复	c=1 d=1 t=16210
hui fu 	恢复	c=1 d=1 t=24517
hui gei wo 	会给我	c=1 d=1 t=1370
hui gu 	回顾	c=1 d=1 t=17270
hui gui 	回归	c=1 d=1 t=31578
hui guo rou 	回锅肉	c=2 d=1.99501 t=17562
hui hei 	灰黑	c=1 d=1 t=26721
hui hei chan 	灰黑产	c=4 d=1.0009 t=27925
hui hen 	会很	c=1 d=1 t=26210
hui huang 	辉煌	c=3 d=1.94649 t=27597
hui jia 	回家	c=6 d=1.99501 t=18267
hui jin bu 	会进步	c=1 d=1 t=22505
hui jue de 	会觉得	c=1 d=0.671209 t=9160
hui lai 	回来	c=7 d=2.23683 t=29906
hui lai le 	回来了	c=2 d=1 t=28452
hui le 	毁了	c=3 d=1.00574 t=25203
hui liao 	会聊	c=1 d=1 t=7397
hui lu 	贿赂	c=1 d=1 t=27394
hui lv 	汇率	c=1 d=1 t=28223
hui mie 	毁灭	c=1 d=1 t=18090
hui qu 	会去	c=2 d=1.44043 t=10991
hui qu 	回去	c=4 d=1 t=30719
hui shi 	回事	c=1 d=1 t=12041
hui shuo 	会说	c=2 d=1 t=29870
hui si 	会死	c=1 d=1 t=24221
hui tou 	回头	c=1 d=1.00004 t=11934
hui tou le 	回头了	c=1 d=1 t=10384
hui xiang 	回想	c=1 d=1 t=24476
hui xin teng wo 	会心疼我	c=1 d=1 t=11079
hui xuan ze 	会选择	c=1 d=1 t=17876
hui yi 	回忆	c=2 d=1 t=26048
hui yu dao 	会遇到	c=1 d=1 t=5995
hui yuan 	会员	c=1 d=1 t=8611
hui yuan yi 	会愿意	c=1 d=1 t=24574
hui zai 	会在	c=1 d=1 t=8760
hui zhe yang 	会这样	c=1 d=0.1 t=21722
hui zuo 	会做	c=2 d=1 t=23072
hui zuo ren 	会做人	c=1 d=1 t=29766
hun 	混	c=5 d=1.01218 t=29301
hun 	魂	c=1 d=1 t=9786
hun bu dao 	混不到	c=1 d=1 t=23040
hun bu jin qu 	混不进去	c=1 d=1 t=28881
hun chi 	混吃	c=4 d=1 t=17440
hun chi deng si 	混吃等死	c=7 d=1.00001 t=26097
hun dan 	混蛋	c=2 d=1 t=30412
hun de hao 	混的好	c=1 d=1 t=5445
hun jiang hu 	混江湖	c=1 d=1 t=22205
hun jin 	混进	c=1 d=1 t=2674
hun jun 	昏君	c=1 d=1 t=15044
hun kou 	混口	c=2 d=1 t=26912
hun le 	混了	c=3 d=1.29376 t=19088
hun luan 	混乱	c=6 d=1.29083 t=25332
hun luan de ren 	混乱的人	c=1 d=1 t=4009
hun ri zi 	混日子	c=1 d=1 t=5220
hun shen 	浑身	c=1 d=0.100061 t=17818
hun shi 	婚事	c=0 d=0.1 t=9254
hun shi 	混世	c=3 d=1 t=19137
hun shi da mo wang 	婚事大魔王	c=1 d=1 t=9255
hun yin 	婚姻	c=2 d=0.218245 t=31596
hun yin le 	婚姻了	c=1 d=1 t=31597
huo 	或	c=1 d=1 t=16086
huo 	活	c=14 d=1.00001 t=31413
huo 	火	c=3 d=1 t=22314
huo 	货	c=1 d=1 t=16361
huo ban 	伙伴	c=1 d=1 t=26809
huo beng luan tiao 	活蹦乱跳	c=1 d=1 t=18329
huo bi 	货币	c=1 d=1 t=12226
huo bu guo 	活不过	c=1 d=1 t=27344
huo bu hao le 	活不好了	c=1 d=1 t=27123
huo bu liao 	活不了	c=1 d=1 t=24902
huo bu xia qu 	活不下去	c=0 d=0.1 t=27340
huo bu xia qu le 	活不下去了	c=1 d=1 t=27341
huo de 	活得	c=22 d=2.04333 t=32216
huo de 	获得	c=1 d=1 t=20162
huo de hao 	活得好	c=1 d=1 t=17970
huo gai 	活该	c=3 d=1 t=17969
huo guo 	火锅	c=1 d=1 t=19304
huo le 	活了	c=2 d=1 t=17593
huo shi 	伙食	c=2 d=1.90484 t=21196
huo xia 	活下	c=1 d=1 t=30894
huo xia lai 	活下来	c=1 d=0.1 t=21640
huo xia lai de ren 	活下来的人	c=1 d=1 t=21641
huo xia qu 	活下去	c=1 d=1 t=7645
huo xu 	或许	c=10 d=0.1 t=32193
huo yi ci 	活一次	c=1 d=1 t=11810
huo zai 	活在	c=5 d=1 t=26595
huo zhe 	或者	c=13 d=1.05156 t=29983
huo zhe 	活着	c=18 d=1 t=32189
huo zhe de 	活着的	c=1 d=1 t=21889
huo zhe shuo 	或者说	c=2 d=1 t=29047
ji 	几	c=2 d=0.1 t=28482
ji 	剂	c=1 d=1 t=12839
ji 	及	c=1 d=1 t=10170
ji 	寄	c=1 d=1 t=12449
ji 	急	c=4 d=1.00062 t=9456
ji 	技	c=1 d=1.056 t=10589
ji 	挤	c=1 d=1 t=2186
ji 	机	c=1 d=1 t=7052
ji 	鸡	c=4 d=1 t=28613
ji bai 	几百	c=0 d=0.1 t=19535
ji bai 	击败	c=1 d=1 t=29313
ji bai bian 	几百遍	c=1 d=1 t=15955
ji bai tiao 	几百条	c=1 d=1 t=19536
ji bai wan 	几百万	c=1 d=1 t=3644
ji ben 	基本	c=1 d=1 t=19474
ji bie 	级别	c=1 d=1 t=337
ji bing 	疾病	c=0 d=0.1 t=20354
ji bing de ren 	疾病的人	c=1 d=1 t=20355
ji bu ru 	技不如	c=1 d=1.06079 t=10598
ji bu ru ren 	技不如人	c=7 d=1 t=21432
ji chang 	机场	c=7 d=1.00006 t=12239
ji cheng 	继承	c=3 d=1 t=31761
ji cheng ren 	继承人	c=1 d=1 t=17459
ji chu 	基础	c=2 d=1 t=10237
ji da 	极大	c=0 d=0.1 t=11928
ji da de 	极大的	c=1 d=1 t=11929
ji dan 	鸡蛋	c=1 d=1 t=639
ji de 	记得	c=5 d=1 t=21691
ji dian 	几点	c=2 d=1.98511 t=25309
ji du 	嫉妒	c=2 d=1 t=13397
ji du 	极度	c=1 d=1 t=16537
ji du xin 	嫉妒心	c=1 d=1 t=1175
ji duan 	几段	c=0 d=0.1 t=6259
ji duan 	极端	c=1 d=1 t=9055
ji fen zhong 	几分钟	c=1 d=1 t=1017
ji fu 	季付	c=1 d=1 t=10079
ji ge 	几个	c=5 d=1 t=27397
ji ge ren 	几个人	c=2 d=1 t=23227
ji ge yue 	几个月	c=3 d=1.88287 t=32323
ji gou 	机构	c=1 d=1 t=3140
ji gou ke yi 	机构可以	c=1 d=1 t=344
ji hu 	几乎	c=10 d=1.00025 t=31077
ji hu bu ke neng 	几乎不可能	c=1 d=1 t=4387
ji hu dou shi 	几乎都是	c=1 d=1 t=4624
ji hua 	计划	c=4 d=1.00165 t=31295
ji hua shu 	计划书	c=1 d=1 t=9985
ji hui 	机会	c=15 d=1.00009 t=32153
ji hui jiu lai le 	机会就来了	c=1 d=1 t=23926
ji jiao 	计较	c=0 d=0.1 t=20141
ji kou 	几口	c=1 d=1 t=22692
ji kuai 	几块	c=0 d=0.1 t=28945
ji kuai qian 	几块钱	c=1 d=1 t=28946
ji lu 	记录	c=1 d=1 t=26367
ji men 	几门	c=0 d=0.1 t=4680
ji neng 	技能	c=4 d=1.94649 t=22985
ji nian 	几年	c=14 d=1.06822 t=31418
ji nian qian 	几年前	c=2 d=1 t=25235
ji qi 	及其	c=1 d=1 t=14411
ji qi 	极其	c=1 d=1 t=25282
ji qian wan 	几千万	c=1 d=1 t=3645
ji shang 	挤上	c=1 d=1 t=2182
ji shi 	几十	c=0 d=0.1 t=1528
ji shi 	及时	c=0 d=0.1 t=6427
ji shi nian 	几十年	c=1 d=1 t=1529
ji shi wan 	几十万	c=1 d=1 t=4760
ji shi zhi sun 	及时止损	c=1 d=1 t=6428
ji shu 	技术	c=12 d=1 t=29103
ji suan 	计算	c=3 d=2.92688 t=10185
ji suan ji 	计算机	c=3 d=1.58868 t=7122
ji sui 	几岁	c=2 d=1 t=10878
ji ti 	集体	c=1 d=1 t=25778
ji tui 	鸡腿	c=1 d=1 t=21052
ji tuo 	寄托	c=0 d=0.1 t=1069
ji wan kuai de 	几万块的	c=1 d=1 t=1132
ji xiang 	吉香	c=5 d=2.98813 t=28164
ji xie 	机械	c=1 d=1 t=8189
ji xu 	继续	c=9 d=1.00077 t=26884
ji xu ya 	继续呀	c=1 d=1 t=24907
ji yi 	记忆	c=3 d=1.94649 t=12292
ji yi shen chu 	记忆深处	c=1 d=1 t=1683
ji yin 	基因	c=2 d=1 t=10728
ji yu 	基于	c=1 d=1 t=4752
ji yu 	机遇	c=3 d=2.9362 t=17218
ji yu 	觊觎	c=1 d=1 t=7665
ji zeng 	激增	c=1 d=1 t=690
ji zhi 	极致	c=2 d=1 t=18481
ji zhu 	记住	c=2 d=1.39653 t=1870
ji zi 	集资	c=2 d=1 t=29053
jia 	假	c=1 d=1 t=29987
jia 	加	c=7 d=4.60108 t=29557
jia 	嫁	c=1 d=1 t=7296
jia 	家	c=15 d=1.06452 t=29680
jia cai 	家财	c=1 d=1 t=29917
jia chan 	家产	c=1 d=1 t=11067
jia chi 	加持	c=1 d=1 t=5958
jia di 	家底	c=1 d=1 t=19667
jia ge 	价格	c=2 d=0.101023 t=17496
jia jiao 	家教	c=1 d=1 t=14813
jia ju 	加剧	c=1 d=1 t=25943
jia kong 	架空	c=1 d=1 t=1415
jia li 	家里	c=11 d=1 t=28831
jia li de 	家里的	c=1 d=1 t=4709
jia men 	家门	c=1 d=1 t=27652
jia qi 	假期	c=1 d=1 t=14810
jia qi lai 	加起来	c=1 d=1 t=23445
jia ren 	嫁人	c=1 d=1 t=31505
jia ren 	家人	c=7 d=1 t=28360
jia ren le 	家人了	c=1 d=1 t=14892
jia ru 	加入	c=1 d=1 t=30145
jia shang 	加上	c=1 d=0.1 t=21429
jia shui 	嫁谁	c=1 d=1 t=31514
jia suo 	枷锁	c=1 d=1 t=7767
jia ting 	家庭	c=16 d=1.00448 t=25825
jia ting de 	家庭的	c=1 d=1 t=25205
jia ting le 	家庭了	c=1 d=1 t=5376
jia ting mei man 	家庭美满	c=1 d=1 t=20615
jia zhi 	价值	c=11 d=1.26185 t=29289
jia zhi guan 	价值观	c=2 d=1 t=4061
jia zu 	家族	c=17 d=1.956 t=32021
jia zu de 	家族的	c=1 d=1 t=30021
jian 	件	c=1 d=1 t=21423
jian 	坚	c=4 d=2.95556 t=32367
jian 	建	c=1 d=1 t=8120
jian 	捡	c=1 d=1 t=442
jian 	检	c=1 d=1 t=23854
jian 	煎	c=1 d=1 t=19442
jian 	见	c=1 d=1 t=30826
jian 	间	c=3 d=1 t=29278
jian ao 	煎熬	c=1 d=1 t=8799
jian bu dao 	见不到	c=1 d=1 t=14648
jian bu de 	见不得	c=1 d=1 t=9210
jian chi 	坚持	c=4 d=1 t=32164
jian chi le 	坚持了	c=1 d=1 t=10659
jian dan 	简单	c=5 d=0.900325 t=32367
jian dan de 	简单的	c=3 d=1 t=16955
jian dao 	见到	c=1 d=1 t=15292
jian ding 	坚定	c=1 d=1 t=4310
jian guan 	见惯	c=1 d=1 t=25188
jian guo 	见过	c=4 d=1.00001 t=25839
jian guo de 	见过的	c=1 d=1 t=2284
jian ji 	剪辑	c=3 d=2.75654 t=1802
jian jian 	捡捡	c=1 d=1 t=479
jian kong 	监控	c=0 d=0.1 t=26884
jian kong wo 	监控我	c=1 d=1 t=26885
jian mian 	见面	c=0 d=0.1 t=5394
jian qiang 	坚强	c=3 d=1.00811 t=22805
jian shao 	减少	c=1 d=1 t=8000
jian she 	建设	c=1 d=1 t=4402
jian shi 	见识	c=2 d=1.00042 t=7318
jian shi qing 	件事情	c=0 d=0.1 t=19855
jian xie 	简写	c=1 d=1 t=12242
jian xin 	坚辛	c=1 d=1 t=19116
jian yi 	建议	c=2 d=1 t=18150
jian ying 	剪映	c=2 d=1.00066 t=20912
jian yu 	监狱	c=2 d=1 t=25753
jian zhi 	简直	c=2 d=1 t=22532
jiang 	江	c=1 d=1 t=21699
jiang 	讲	c=7 d=1 t=29807
jiang 	降	c=1 d=1 t=9958
jiang bin 	江滨	c=1 d=0.995012 t=32367
jiang dao li 	讲道理	c=3 d=2.77819 t=15127
jiang di 	降低	c=1 d=1 t=8071
jiang hu 	江湖	c=2 d=1.00002 t=23958
jiang hua 	讲话	c=1 d=0.778801 t=32367
jiang jiu 	将就	c=1 d=1 t=32352
jiang jiu 	讲究	c=1 d=1 t=23169
jiang lai 	将来	c=13 d=1.0296 t=30491
jiang li 	讲理	c=0 d=0.1 t=22436
jiang shan 	江山	c=1 d=1.09501 t=618
jiang su 	江苏	c=2 d=1 t=27459
jiao 	交	c=6 d=1 t=30260
jiao 	叫	c=3 d=1 t=29944
jiao 	教	c=23 d=1.08291 t=32105
jiao 	脚	c=1 d=1 t=15871
jiao 	觉	c=2 d=1 t=19378
jiao 	较	c=1 d=1 t=27951
jiao ben 	脚本	c=6 d=1.37719 t=28413
jiao bu liao 	教不了	c=3 d=1.88692 t=30699
jiao cai 	教材	c=3 d=1.7815 t=10311
jiao chu lai 	教出来	c=1 d=1 t=18652
jiao du 	角度	c=4 d=1 t=25092
jiao gei 	交给	c=1 d=1 t=2391
jiao guan 	教官	c=1 d=1 t=11407
jiao guo 	教过	c=1 d=1 t=1204
jiao huan 	交换	c=0 d=0.1 t=2406
jiao hui 	教会	c=1 d=1 t=4449
jiao jiao 	教教	c=1 d=1 t=8043
jiao jie 	交接	c=1 d=1 t=12148
jiao jin nao zhi 	绞尽脑汁	c=1 d=1 t=14358
jiao liu 	交流	c=1 d=1 t=30386
jiao lv 	焦虑	c=1 d=1 t=5863
jiao ni 	教你	c=0 d=0.1 t=5012
jiao peng you 	交朋友	c=1 d=1 t=9403
jiao qing 	交情	c=6 d=1 t=29286
jiao qing 	矫情	c=2 d=1 t=24915
jiao shu 	教书	c=1 d=1 t=10487
jiao wo 	教我	c=1 d=1 t=27196
jiao xin 	交心	c=1 d=1 t=24427
jiao xun 	教训	c=3 d=1 t=23269
jiao yi 	交易	c=3 d=1 t=32322
jiao zi 	娇子	c=1 d=1 t=23903
jiao zi 	教子	c=1 d=1 t=10802
jie 	借	c=8 d=1.00004 t=32017
jie 	届	c=1 d=1 t=19696
jie 	接	c=3 d=1.91393 t=21393
jie 	界	c=1 d=1 t=4700
jie 	皆	c=2 d=1 t=13749
jie 	结	c=1 d=1 t=6138
jie ban ren 	接班人	c=1 d=1 t=16411
jie ceng 	阶层	c=4 d=1 t=32193
jie chu 	接触	c=5 d=0.10016 t=16006
